question_id,student_answer,score
7,63 سنة هو عمر الرسول صلى الله عليه وسلم ,0
7,40,1
7,كان عمر الرسول صلى الله عليه وسلم 40 سنة,1
7,40,1
7,40 سنة,1
7,25,0
7,w,0
7,40,1
7,40,1
7,50 عاما,0
7, 40 سنة,1
7,40,1
7,25سنة,0
7,40,1
7,40,1
7,40 سنة,1
7,40,1
7,40,1
7,42,0
7,42,0
7,41,0
7,39,0
7,40,1
7,40,1
7,40,1
7,40 سنة,1
7,40,1
7,40 سنة,1
7,40,1
7,40,1
7,40 عاما,1
7,43,0
7,أربعون سنة ,1
7,12,0
7,40 سنة,1
7,40,1
7,24 عاما ,0
7,40 سنة ,1
7,25,0
7,أربعين سنة,1
7,أربعين  سنة 40 ,1
7,40 سنة,1
7,42 سنة ,0
7,39 سنة,0
7,40 سنة ,1
7,40 سنة ,1
7,43,0
7,40 سنة,1
7,40سنة,1
7,40,1
7,39,0
7,43,0
7,40,1
7,39,0
7,40,1
7,42,0
7,43,0
7,60,0
7,39,0
7,40,1
7,40,1
7,25,0
7,60,0
7,أربعون سنة ,1
7,40,1
7,40,1
7,40,1
7,43,0
7,30,0
7,25,0
7,39,0
7,30,0
7,43 سنة ,0
7,39,0
7,40,1
7,40,1
7,أربعين سنة ,1
7,30,0
7,40,1
7,50,0
7,40,1
7,40,1
7,39,0
7,30,0
7,25,0
7,خمسة وعشرون سنة ,0
7,50,0
7,40,1
7,42,0
7,40,1
7,40,1
7,40,1
7,40,1
7,30,0
7,25,0
7,40,1
7,43,0
7,40,1
7,40,1
7,40,1
7,أربعون عاما,1
7,40 عاما ,1
7,أربعين سنة ,1
7,40 سنة,1
7,أربعون سنة ,1
7,40 سنة,1
7,45سنة ,0
