question_id,student_answer,score
6,حمزة,0
6,أبي طالب ,5
6,عمه عبد الله ,0
6,عمه,1
6,عمه ابو طالب ,5
6,عمه ,1
6,تودو,0
6,عمه حمزة ,0
6,لا اعلم,0
6,حليمة السعدية ,0
6,حمزة ,0
6,ابو طالب ,5
6,عمه ابا طالب,5
6,عمه أبو طالب,5
6,عمه عبد المطلب ,5
6,عبد الله ,0
6,عمه ابو طالب,5
6,عمه أبو طالب ,5
6,40,0
6,عمه عبد المطلب,5
6,عم النبي صلى الله عليه وسلم أبي طالب هو من كفله بعد موت جده  ,5
6,عمه عبد المطلب رضي الله عنه,5
6,ابو طالب,5
6,خاله,0
6,ابي طالب,5
6,أبي طالب عم النبي صلى الله عليه وسلم هو من كفله بعد موت جده,5
6,خاله ,0
6,عمه حمزة بن المطلب ,0
6,عمه أبي طالب ,5
6,أمه آمنة بنت وهب ,0
6,عمه ابي طالب,5
6,عم النبي أبي طالب  وشقيق أبيه ,5
6,ابا طالب,5
6,شقيق ابيه أبي طالب ,5
