question_id,student_answer,score
6,حمزة,0.0
6,أبي طالب ,2.5
6,عمه عبد الله ,0.0
6,عمه,0.5
6,عمه ابو طالب ,2.5
6,عمه ,0.5
6,تودو,0.0
6,عمه حمزة ,0.0
6,لا اعلم,0.0
6,حليمة السعدية ,0.0
6,حمزة ,0.0
6,ابو طالب ,2.5
6,عمه,0.5
6,عمه ,0.5
6,عمه ابا طالب,2.5
6,عمه أبو طالب,2.5
6,عمه عبد المطلب ,2.5
6,عمه,0.5
6,حمزة ,0.0
6,عمه,0.5
6,عبد الله ,0.0
6,عمه,0.5
6,عمه,0.5
6,عبد الله ,0.0
6,عمه,0.5
6,عمه ابو طالب,2.5
6,عمه ,0.5
6,عمه أبو طالب,2.5
6,عمه ,0.5
6,عمه أبو طالب ,2.5
6,عمه أبو طالب,2.5
6,ابو طالب ,2.5
6,عمه أبو طالب,2.5
6,عمه ,0.5
6,عمه ابو طالب ,2.5
6,عمه,0.5
6,عمه,0.5
6,عمه ,0.5
6,40,0.0
6,عمه عبد المطلب,2.5
6,عم النبي صلى الله عليه وسلم أبي طالب هو من كفله بعد موت جده  ,2.5
6,عمه ,0.5
6,عمه ابو طالب ,2.5
6,عمه,0.5
6,عمه ,0.5
6,عمه أبو طالب,2.5
6,عمه عبد المطلب رضي الله عنه,2.5
6,عمه ابو طالب,2.5
6,عمه ابا طالب,2.5
6,عمه ابو طالب ,2.5
6,عمه,0.5
6,ابو طالب ,2.5
6,عمه,0.5
6,عمه,0.5
6,ابو طالب,2.5
6,عمه,0.5
6,عمه ابو طالب ,2.5
6,حليمة السعدية ,0.0
6,حليمة السعدية ,0.0
6,خاله,0.0
6,عمه,0.5
6,خاله,0.0
6,عمه ,0.5
6,ابي طالب,2.5
6,عمه,0.5
6,عمه,0.5
6,أبي طالب عم النبي صلى الله عليه وسلم هو من كفله بعد موت جده,2.5
6,حليمة السعدية ,0.0
6,عمه,0.5
6,عمه,0.5
6,عمه,0.5
6,خاله ,0.0
6,عمه حمزة بن المطلب ,0.0
6,عمه,0.5
6,عمه أبي طالب ,2.5
6,حليمة السعدية ,0.0
6,أمه آمنة بنت وهب ,0.0
6,عمه,0.5
6,عمه,0.5
6,عمه,0.5
6,عمه ابو طالب ,2.5
6,عمه ,0.5
6,حليمة السعدية ,0.0
6,عمه,0.5
6,حليمة السعدية ,0.0
6,عمه,0.5
6,عمه,0.5
6,عمه,0.5
6,عمه,0.5
6,حليمة السعدية ,0.0
6,عمه ,0.5
6,عمه,0.5
6,ابو طالب ,2.5
6,عمه,0.5
6,عمه ,0.5
6,أبي طالب ,2.5
6,عمه,0.5
6,ابو طالب ,2.5
6,ابو طالب ,2.5
6,عمه ,0.5
6,عمه ابي طالب,2.5
6,عمه عبد المطلب,2.5
6,عم النبي أبي طالب  وشقيق أبيه ,2.5
6,ابا طالب,2.5
6,شقيق ابيه أبي طالب ,2.5
6,عمه ابو طالب,2.5
6,عمه ابو طالب ,2.5
