question_id,student_answer,score
2,الايمان بالكتب والملائكة والناس أجمعين ,2
2,الايمان بالله و ملائكته و كتبه و رسله و اليوم الآخر و القدر خيره و شره ,5
2,الايمان بالله ,1
2,الايمان بملائكته,1
2,الايمان بكتبه ,1
2,الايمان برسله  ,1
2,الايمان باليوم الآخر ,1
2,الايمان بالملائكة,1
2,الايمان بالكتب ,1
2,الايمان بالرسل  ,1
2,الايمان بالقدر خيره و شره ,1
2,الايمان بقدره  ,1
2,ايمان بالله وملائكته وكتبه و رسله و اليوم الآخر والقضاء والقدر خيره و شره,5
2,6,0
2,الايمان بالله و بملائكته و كتبه و رسله و اليوم الأخر  و الإبمان بالقدر خيره و شره ,5
2,الايمان بالله و ملائكته و كتبه و رسله و اليوم الاخر,4
2,الايمان بالله و الملائكة و الكتب ,2
2,الإيمان بالله  و ملائكته و كتبه و رسله و القدر خيره و شره و اليوم الآخر,5
2,الإيمان بالله والكتب والرسل والقدر ,2
2,الصوم والصلاة ,0
2,الايمان بالله,1
2,الإيمان بالله و رسله و كتبه,2
2,الايمان بالله وملائكته ورسله واليوم الآخر  و القدر خيره ,4
2,الايمان بالله و ملائكته و كتبه و رسله و اليوم الآخر ,4
2,الايمان بالله و بملائكته وبكتبه وبرسله وباليوم الآخر وبالقدر خيره وشره,5
2,الإيمان بالله وملائكته وكتبه ورسله واليوم الآخر والقدر خيره وشره.,5
2,الإيمان بالله وملائكته وكتبه ورسله واليوم الآخر والقدر خيره وشره,5
2,الإيمان بالله وملائكته وكتبه و رسله ,3
2,الايمان بالله و القران و الرسل ,2
2,الإيمان بالله وملائكته وبالقدر خيره وشره ,2
2,الإيمان بالقدر خيره وشره ,1
2,الإيمان بالله وملائكته وكتبه ورسله وبالقدر خيره وشره ,4
2,الايمان بالله و الملائكة و الكتب و الرسل و اليوم الآخر ,4
2,6 و هي الإيمان بالله و ملائكته و كتبه و رسله و اليوم الآخر و القدر خيره و شره ,5
2,الايمان بالله و الملائكة و الكتب و الرسل ,3
2,الإيمان بالله والملائكة والرسل والكتب والإيمان بالقدر خيره وشره,4
2,الايمان بالله و رسله و كتبة وملائكته و اليوم الاخر والايمان بالقضاء خيره و شره .,5
2,الإيمان بالله وملائكته وكتبه ورسله واليوم الآخر والقدر خيره وشر,5
2,الايمان بالله و ملائكته و كتبه و رسله و اليوم الاخر و القدرخيره و شره,5
2,الايمان بالله وملائكته ورسله وكتبه والقدر خيره وشره,4
2,أن تؤمن بالله وملائكته وكتبه ورسله واليوم  الآخر وان تؤمن بالقدر خيره وشره ,5
2,الإيمان بالله وملائكته وكتبه ورسله والقدر خيره وشره,4
2,أركان الإيمان ستة وهي الإيمان بالله وملائكته وكتيه ورسله وباليوم الاخر وبالقدر خيره وشره ,5
