question_id,student_answer,score
10,3 سنوات ,2
10,3,2
10,اربع سنوات ,0
10,5,0
10,5سنوات,0
10,6,0
10,3 اشهر و ستتخلص منها,0
10,3 سنوات,2
10,20 سنة,0
10,20 سنة ,0
10,عامين,0
10,4,0
10,عامين,0
10,2,0
10,3 سنوات,2
10,ثلاث سنوات.,2
10,3 سنوات,2
10,2,0
10,دامت سنة ,0
10,3,2
10,1,0
10,4,0
10,3,2
10,3,2
10,4,0
10,3 سنوات,2
10,2,0
10,3 سنوات,2
10,3 سنوات,2
10,2,0
10,4 سنوات,0
10,3 سنين ,2
10,ثلاث سنوات,2
10,3 سنوات,2
10,3سنوات ,2
10,لا اعرف,0
10,ثلاث سنوات ,2
10,ثلاث سنوات ,2
10,35,0
10,سنتان ,0
10,دامت الدعوة السرية أربع سنوات ,0
10,4 سنوات,0
10,4 سنوات,0
10,5 سنوات,0
10,5 سنوات,0
10,3 سنوات ,2
10,23 سنة ,0
10,23,0
10,23 عاما,0
10,3,2
10,سنتين,0
10,5,0
10,3 سنوات,2
10,سنتي ,0
10,4 سنوات ,0
10,3 سنوات ,2
10,3 سنوات ,2
10,5,0
10,4 سنوات ,0
10,4 سنوات ,0
10,2,0
10,4,0
10,3,2
10,اربع سنوات,0
10,4 سنوات ,0
10,7,0
10,4 سنوات,0
10,3 سنوات ,2
10,3سنوات ,2
10,لا أعلم ,0
10,42سنة ,0
10,3 سنوات ,2
10,دامت الدعوة اربع سنوات,0
10,3سنوات ,2
10,لا أعلم ,0
10,5 سنوات ,0
10,أربع سنوات,0
10,3 سنوات ,2
10,4 سنوات,0
10,سنتين ,0
10,3سنوات ,2
10,لا أعلم,0
10,سنة واحدة ,0
10,5سنوات,0
10,6,0
10,أربع سنوات ,0
10,سنة واحدة ,0
10,7,0
10,سنتين ,0
10,لا أعلم,0
10,3 سنوات,2
10,8,0
10,3 سنوات,2
10,6 سنوات,0
10,8,0
10,4 سنوات,0
10,سنة واحدة ,0
10,3 سنوات ,2
10,4 سنوات ,0
10,3,2
10,ثلاث سنوات ,2
10,3 سنوات ,2
10,ثلاث سنوات ,2
10,3 سنوات,2
10,ظل النبي في الدعوة السرية ثلاث سنوات,2
10,3 سنوات,2
10,3 سنوات ,2
