question_id,student_answer,score
9,ادرس,0
9,اقرأ ,2
9,اية : اقرا باسم ربك الذي خلق ...,2
9,اقرأ,2
9, الآية: إقرأ باسم ربك الذي خلق,2
9,تعلم,0
9,العب,0
9,إقرأ,2
9,اقرا بداية سورة العلق,2
9,اقرا بسم ربك الذي خلق,2
9,سورة العلق,2
9,اقرأ ,2
9,سورة العلق,2
9,سورة العلق ,2
9,اقرأ باسم ربك...,2
9,الآيات الأولى من سورة العلق,2
9,اقرأ,2
9,ادرس,0
9,سورة العلق ,2
9,إقرأ ,2
9,الفاتحة ,0
9,سورة العلق,2
9,إقرأ ,2
9,إقرأ ,2
9,إقرأ ,2
9,اقرأ باسم ربك الذي خلق ,2
9,اقرأ ,2
9,اقرأ ,2
9,إقرأ ,2
9,سورة اقرأ,0
9,اقرأ,2
9,إقرأ ,2
9,اقرأ باسم ربك الذي خلق,2
9,اقرأ,2
9,إقرأ باسم ربك الذي خلق ,2
9,اقرأ باسم ربك الذي خلق,2
9,إقرأ باسم ربك الذي خلق,2
9,سورة العلق اقرأ,2
9,سورة اقرأ,0
9,اقرأ باسم ربك الذي خلق,2
9,أول مانزل من القران الكريم اقرأ,2
9,إقرأ باسم ربك الذي خلق,2
9,إقرأ باسم ربك الذي خلق ,2
9,إقرأ باسم ربك الذي خلق ,2
9,إقرأ باسم ربك الذي خلق ,2
9,اقرأ بسم ربك الذي خلق,2
9,اقرا,2
9,إقرأ,2
9,سورة الفاتحة,0
9,إقرأ بسم ربك الذي خلق,2
9,إقرأ ,2
9,الفاتحة,0
9,سورة العلق ,2
9,إقرأ بسم ربك الذي خلق,2
9,البقرة,0
9,الفاتحة,0
9,إقرأ بسم ربك الذي خلق ,2
9,اقرأ,2
9,الفاتحة,0
9,إقرأ بسم ربك الذي خلق ,2
9,سورة العلق ,2
9,اقرأ ,2
9,سورة العلق ,2
9,اقرأ باسم ربك ,2
9,الفاتحة ,0
9,اقرأ ,2
9,اقرأ باسم ربك الذي خلق ,2
9,سورة العلق ,2
9,إقرأ بسم ربك الذي خلق ,2
9,سورة العلق ,2
9,الفاتحة ,0
9,إقرأ بسم ربك الذي خلق ,2
9,اقرأ هي اول كلمة نزلت في القران الكريم ,2
9,البقرة,0
9,الفاتحة ,0
9,سورة العلق ,2
9,يا أيها المزمل ,0
9,الفاتحة ,0
9,الفاتحة,0
9,إقرأ بسم ربك الذي خلق ,2
9,سورة العلق ,2
9,الفاتحة ,0
9,الفاتحة ,0
9,سورة العلق ,2
9,الفاتحة ,0
9,أية اقرأ باسم ربك الذي خلق ,2
9,سورة البقرة ,0
9,اقرأ ,2
9,سورة العلق ,2
9,الفاتحة ,0
9,الفاتحة ,0
9,اقرأ ,2
9,إقرأ بسم ربك الذي خلق ,2
9,سورة العلق,2
9,اقرأ ,2
9,اقرأ ,2
9,الآية الكريمة إقرأ بسم ربك الذي خلق ,2
9,سورة العلق ,2
9,سورة الفاتحة ,0
9,اقرأ ,2
9,إقرأ بإسم ربك الذي خلق,2
9,إقرء بسم ربك الدي خلق,2
9,اقرأ,2
9,اقرأ باسم ربك الذي خلق ,2
9,"قال تعالى ""اقرأ باسم ربك الذي خلق""",2
9,اقرا باسم ربك الذي خلق,2
9,اقرا سورة القلم ,0
