questio_id,student_answer,score
3,سبعة وهي غسل الوجه غسل اليدين الى المرفقين النية الدلك الفور مسح الرأس وغسل الرجلين الى الكعبين ,2
3,"غسل الوجه اليدين الرأس و الكعبين
سننه التسمية المضمضة الاستنشاق الاستنثار مسح الاذنين ",2
3,"فرائض: النية،غسل الوجه،غسل اليدين،مسح الرأس،غسل الرجلين
سنن: التسيمة، مضمضة الفم،الإستنشاق،غسل الوجه،غسل اليدين، الشهادة",3
3,؟,0
3,فرائض هي غسل اليدين  ثلاث مرات و غسل الوجه ثلاث مرات  مسح رأس و مسح الأذنين و غسل الرجلين  ام سننه المضمضة و الإستنشاق و غسل اليدين الى المرفق ثلاث مرات على ماأذن ,2
3,غسل اليدين و الوجه و الرجلين,1
3,غسل الوجه مسح الرأس و غوجو ساتورو,0
3,النية غسل الوجه و اليدين و الرجلين الدلك  و الفور,2
3,الفرائض هي النية والدلك والفور غسل الوجه واليدين إلى المرفقين وغسل الرجلين والسنن مسح الراس والاستنجاء,2
3,مستحب,0
3,الاستنجاء,0
3,غسل اليدين و الوجه و الأرجل و السنن المضمضة و الاستنشاق و الاستنثار ,2
3,الاستنجاء ,0
3,غسل اليدين و الوجه و الرجلين السنن مسح الاذنين و المضمضة و الاستنشاق و الاستنثار ,2
3,غسل اليدين الى الكوعين ثلاثا غسل الفم مع المضمضة ثلاثا الاستنشاق والاستنتار ثلاثا غسل الوجه ثلاثا غسل اليدين الى المرفقين ثلاثا مسح الرأس مسح الاذنين غسل القدمين الى الكعبين ثلاثا ,2
3,"فرائض الوضوء: النية، غسل الوجه وغسل اليدين إلى المرفقين ومسح الرأس وغسل الرجلين إلى الكعبين. 

سنن الوضوء: 1 – التسمية في أوله لحديث أبي هريرة رضي الله عنه قال: قال رسول الله : لا وضوء لمن لم يذكر اسم الله عليه. أخرجه أحمد, وأبو داود, وابن ماجه,
2- السواك, فيستحب للمتوضئ أن يستاك – في أول الوضوء أو عند المضمضة – لما ثبت من حديث  أبي هريرة أن رسول الله  قال : لولا أن أشق على أمتي لأمرتهم بالسواك مع كل وضوء.  أخرجه مالك, وأحمد, والنسائي, وصححه ابن خزيمة .
2- غسل الكفين ثلاثا أول الوضوء لما رواه أحمد والنسائي عن أوس قال: رأيت النبي صلى الله عليه وسلم توضأ فاستوكف ثلاثا، أي غسل كفيه ثلاثا. ولأن الذين وصفوا وضوء رسول الله صلى الله عليه وسلم ذكروا أنه يغسل كفيه ثلاثا في أوله .
3- المبالغة في المضمضة والاستنشاق لغير الصائم لحديث: وبالغ في الاستنشاق إلا أن تكون صائما. أخرجه أبو داوود والنسائي والترمذي وابن ماجه وصححه ابن خزيمة.
4- تخليل اللحية الكثيفة لما ثبت عن النبي صلى الله عليه وسلم أنه كان إذا توضأ أخذ كفا من ماء فأدخله تحت حنكه فخلل به لحيته وقال هكذا أمرني ربي عز وجل ... رواه أبو داوود وصححه الألباني .
5- تخليل أصابع اليدين والرجلين لحديث لقيط ابن صبرة: وخلل بين الأصابع. أخرجه الأربعة وصححه ابن خزيمة .
6 – البداءة باليمين قبل اليسار لحديث عائشة رضي الله عنها قالت: كان النبي يعجبه التيمن في تنعله, وترجله, وطهوره, وفي شأنه كله. متفق عليه
7 -  تكرار غسل العضو مرتين أو ثلاث.
8 – الذكر بعد الانتهاء من الوضوء.

",4
3,غسل اليدين إلى الكوعين. المضمضة. الاستنشاق والاستنثار. غسل الوجه. مسح الرأس. مسح الأذنين. غسل اليدين إلى المرافقين. غسل الرجلين إلى الكعبين ,3
3,النية غسل اليدين للمرافق غسل الرجلين ,1
3,"غسل الرجلين و اليدين و الوجه و الرأس
السنن مسح الرأس مسح الاذنين ",1
3,النية غسل الوجه البسملة المضمضة,1
3,النية غسل الوجه غسل اليدين للمرافق البسملة الاستنشاق والاستنثار ,2
3,النية غسل الوجه مسح الرأس البسملة المضمضة غسل الاذنين ,2
3,النية البسملة المضمضة الاستنشاق والاستنثار غسل الوجه,2
3,النية إقامة الصلاة ايتاء الزكاة صوم رمضان ,0
3,النية مسح الرأس غسل الوجه الاستنشاق والاستنثار البسملة ,2
3,20,0
3,غسل الوجه و اليدين و الرجلين و النية و البسملة و مسح الرأس ,2
3,"فرائض الوضوء غسل اليدين و الوجه و الرجلين مسح الرأس 
سننه المضمضة الاستنشاق الاستنثار مسح الاذنين ",2
3,النية البسملة المضمضة الاستنشاق والاستنثار غسل اليدين للمرافق ,2
3,الفرائض غسل الوجه و الوجه و اليدين ,0
3,7,0
3,النية .غسل اليدين إلى الكوعين . غسل الوجه واليدين إلى المشرفين.  مسح الرأس.  غسل  الرجلين إلى الكعبين .الدلك .الفور,2
3,المضمة - الاستنشاق - الاستنثار  غسل اليدين و غسل الرجلين و مسح الىأس ,2
3,النية غسل الوجه واليدين والرجلين وسننه مسح الرأس والاذنين ,2
3,النيةغسل الوجه غسل اليدين الى المرفقين مسح الراس غسل الرجلين الى الكعبين,1
3,النية والبسمة وغسل اليدين الى الكوعين ثلاثا والمضمضة ثلاثا والاستنشاق والاستنثار ثلاثا وغسل الوجه ثلاثاوغسل اليدين الى المرفقين ثلاثا ومسح الرأس ورد مسح الرأس ومسح الاذنين وغسل الرجلين الى الكعبين ثلاثا,3
3,"غسل اليدين الى المرفقين المضمضة النية غسل الوجه 
مسح الرأس  غسل الرجلين الى الكوعين 
غسل اليدين الى الكوعين الاستثار الاستنشاق رد مسح الرأس مسح الاذنين ",3
3,6,0
3,النية غسل الوجه غسل اليدين مسح الرأس غسل الرجلين الفور ,2
3,فرائض الوضوء سبعة وهي  النية والدلك والفور غسل الوجه واليدين الى المرفقين ثم مسح الرأس ثم غسل الرجلين الى الكعبين غسل ,2
3,غسل اليدين ثلاث مرات و المضمضة و الإستنشاق و غسل اليدين الى المرفق و غسل الوجه و مسح الرأس و الأذنين ا وغسل الرجلين ,2
