questio_id,student_answer,score
3,سبعة وهي غسل الوجه غسل اليدين الى المرفقين النية الدلك الفور مسح الرأس وغسل الرجلين الى الكعبين ,1.75
3,"غسل الوجه اليدين الرأس و الكعبين
سننه التسمية المضمضة الاستنشاق الاستنثار مسح الاذنين ",2.0
3,"فرائض: النية،غسل الوجه،غسل اليدين،مسح الرأس،غسل الرجلين
سنن: التسيمة، مضمضة الفم،الإستنشاق،غسل الوجه،غسل اليدين، الشهادة",2.5
3,؟,0.0
3,فرائض هي غسل اليدين  ثلاث مرات و غسل الوجه ثلاث مرات  مسح رأس و مسح الأذنين و غسل الرجلين  ام سننه المضمضة و الإستنشاق و غسل اليدين الى المرفق ثلاث مرات على ماأذن ,2.0
3,غسل اليدين و الوجه و الرجلين,0.75
3,غسل الوجه مسح الرأس و غوجو ساتورو,0.5
3,النية غسل الوجه و اليدين و الرجلين الدلك  و الفور,1.5
3,الفرائض هي النية والدلك والفور غسل الوجه واليدين إلى المرفقين وغسل الرجلين والسنن مسح الراس والاستنجاء,1.75
3,مستحب,0.0
3,الاستنجاء,0.25
3,غسل اليدين و الوجه و الأرجل و السنن المضمضة و الاستنشاق و الاستنثار ,1.5
3,الاستنجاء ,0.25
3,غسل اليدين و الوجه و الرجلين السنن مسح الاذنين و المضمضة و الاستنشاق و الاستنثار ,1.75
3,غسل اليدين الى الكوعين ثلاثا غسل الفم مع المضمضة ثلاثا الاستنشاق والاستنتار ثلاثا غسل الوجه ثلاثا غسل اليدين الى المرفقين ثلاثا مسح الرأس مسح الاذنين غسل القدمين الى الكعبين ثلاثا ,2.0
